"Word"	"Pinyin"	"Level"	"First Translation"	"Other Translations"	"Parent"
"捲"	"juăn"	"6"	"to roll (up)"	"to sweep up, to carry on, roll"	""
"決心"	"juéxīn"	"6"	"determination"	"resolution, determined, firm and resolute, to make up one's mind, CL:個|个[ge4]"	""
"絕不"	"juébù"	"6"	"in no way"	"not in the least, absolutely not"	""
"絕大部分"	"juédàbùfèn"	"6"	"overwhelming majority"	""	""
"悟"	"wu4"	"6"	"to comprehend"	"to apprehend, to become aware"	"覺悟 (juéwù)"
"覺悟"	"juéwù"	"6"	"to come to understand"	"to realize, consciousness, awareness, Buddhist enlightenment (Sanskrit: cittotpāda)"	""
"軍事"	"jūnshì"	"6"	"military affairs"	"military matters, military"	""
"卡通"	"kătōng"	"6"	"cartoon (loanword)"	""	""
"開除"	"kāichú"	"6"	"to expel"	""	""
"開刀"	"kāidāo"	"6"	"(of a surgeon) to perform an operation"	"(of a patient) to have an operation, to decapitate, to behead, to single out as a point of attack"	""
"開發"	"kāifā"	"6"	"to exploit (a resource)"	"to open up (for development), to develop"	""
"開戶"	"kāihù"	"6"	"to open an account (bank etc)"	""	""
"開課"	"kāikè"	"6"	"school begins"	"give a course, teach a subject"	""
"開明"	"kāimíng"	"6"	"enlightened"	"open-minded, enlightenment"	""
"開設"	"kāishè"	"6"	"to offer (goods or services)"	"to open (for business etc)"	""
"拓"	"tuo4 ta4"	"6"	"surname Tuo"	"to make a rubbing (e.g. of an inscription), to expand, to push sth with the hand, to develop, to open up"	"開拓 (kāituò)"
"開拓"	"kāituò"	"6"	"to break new ground (for agriculture)"	"to open up (a new seam), to develop (border regions), fig. to open up (new horizons)"	""
"開演"	"kāiyăn"	"6"	"(of a play, movie etc) to begin"	""	""
"看家"	"kānjiā"	"6"	"to look after the house"	"(of skill, ability) special, outstanding"	""
"砍"	"kăn"	"6"	"to chop"	"to cut down, to throw sth at sb"	""
"看得起"	"kàndeqĭ"	"6"	"to show respect for"	"to think highly of"	""
"看看"	"kànkan"	"6"	"to take a look at"	"to examine, to survey, (coll.) pretty soon"	""
"看來"	"kànlái"	"6"	"apparently"	"it seems that"	""
"看樣子"	"kànyàngzi"	"6"	"it seems"	"it looks as if"	""
"抗議"	"kàngyì"	"6"	"to protest"	"protest"	""
"考察"	"kăochá"	"6"	"to inspect"	"to observe and study, on-the-spot investigation"	""
"考卷"	"kăojuàn"	"6"	"exam paper"	""	""
"慮"	"lu:4"	"6"	"to think over"	"to consider, anxiety"	"考慮 (kăolǜ)"
"考慮"	"kăolǜ"	"6"	"to think over"	"to consider, consideration"	""
"考取"	"kăoqŭ"	"6"	"to pass an entrance exam"	"to be admitted to"	""
"靠近"	"kàojìn"	"6"	"near"	"to approach"	""
"科目"	"kēmù"	"6"	"subject"	""	""
"顆"	"kē"	"6"	"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc"	""	""
"可喜"	"kěxĭ"	"6"	"making one happy"	"gratifying, heartening"	""
"可笑"	"kěxiào"	"6"	"funny"	"ridiculous"	""
"客房"	"kèfáng"	"6"	"guest room"	""	""
"客觀"	"kèguān"	"6"	"objective"	"impartial"	""
"客戶"	"kèhù"	"6"	"client"	"customer"	""
"課外"	"kèwài"	"6"	"extracurricular"	""	""
"空前"	"kōngqián"	"6"	"unprecedented"	""	""
"空中"	"kōngzhōng"	"6"	"in the sky"	"in the air"	""
"怖"	"bu4"	"6"	"terror"	"terrified, afraid, frightened"	"恐怖 (kŏngbù)"
"恐怖"	"kŏngbù"	"6"	"terrible"	"frightful, frightening, terror, terrorist"	""
"控"	"kong4"	"6"	"to control"	"to accuse, to charge, to sue, to invert a container to empty it, (suffix) (slang) buff, enthusiast, devotee, -phile or -philia"	"控制 (kòngzhì)"
"控制"	"kòngzhì"	"6"	"control"	"to exercise control over, to contain"	""
"口才"	"kŏucái"	"6"	"eloquence"	""	""
"口號"	"kŏuhào"	"6"	"slogan"	"catchphrase, CL:個|个[ge4]"	""
"口紅"	"kŏuhóng"	"6"	"lipstick"	""	""
"口氣"	"kŏuqì"	"6"	"tone of voice"	"the way one speaks, manner of expression, tone"	""
"口試"	"kŏushì"	"6"	"oral examination"	"oral test"	""
"口水"	"kŏushuĭ"	"6"	"saliva"	""	""
"口音"	"kŏuyīn"	"6"	"oral speech sounds (linguistics)"	"voice, accent"	""
"口語"	"kŏuyŭ"	"6"	"colloquial speech"	"spoken language, vernacular language, slander, gossip, CL:門|门[men2]"	""
"扣"	"kòu"	"6"	"button"	""	""
"誇獎"	"kuājiăng"	"6"	"to praise"	"to applaud, to compliment"	""
"跨"	"kuà"	"6"	"to step across"	"to stride over, to straddle, to span"	""
"會計"	"kuàijì"	"6"	"accountant"	"accountancy, accounting"	""
"寬度"	"kuāndù"	"6"	"width"	""	""
"喇"	"la1 la3"	"6"	"(onom.) sound of wind, rain etc"	"(phonetic)"	"喇叭 (lăba)"
"叭"	"ba1"	"6"	"denote a sound or sharp noise (gunfire etc)"	""	"喇叭 (lăba)"
"喇叭"	"lăba"	"6"	"horn (automobile etc)"	"loudspeaker, brass wind instrument, trumpet, suona 鎖吶|锁呐[suo3 na4]"	""
"蠟"	"la4"	"6"	"candle"	"wax"	"蠟燭 (làzhú)"
"燭"	"zhu2"	"6"	"candle"	"(literary) to illuminate"	"蠟燭 (làzhú)"
"蠟燭"	"làzhú"	"6"	"candle"	"CL:根[gen1],支[zhi1]"	""
"椒"	"jiao1"	"6"	"pepper"	""	"辣椒 (làjiāo)"
"辣椒"	"làjiāo"	"6"	"hot pepper"	"chili"	""
"來回"	"láihuí"	"6"	"to make a round trip"	"return journey, back and forth, to and fro, repeatedly"	""
"來臨"	"láilín"	"6"	"to approach"	"to come closer"	""
"來往"	"láiwăng"	"6"	"to come and go"	"to have dealings with, to be in relation with"	""
"來信"	"láixìn"	"6"	"incoming letter"	"send a letter here"	""
"來源"	"láiyuán"	"6"	"source (of information etc)"	"origin"	""
"來自"	"láizì"	"6"	"to come from (a place)"	"From: (in email header)"	""
"籃子"	"lánzi"	"6"	"basket"	"CL:隻|只[zhi1]"	""
"懶"	"lăn"	"6"	"lazy"	""	""
"懶得"	"lănde"	"6"	"not to feel like (doing sth)"	"disinclined to"	""
"爛"	"làn"	"6"	"soft"	"mushy, well-cooked and soft, to rot, to decompose, rotten, worn out, chaotic, messy, utterly, thoroughly, crappy, bad"	""
"濫"	"lan4"	"6"	"overflowing"	"excessive, indiscriminate"	"濫用 (lànyòng)"
"濫用"	"lànyòng"	"6"	"to misuse"	"to abuse"	""
"狼"	"láng"	"6"	"wolf"	"CL:匹[pi3],隻|只[zhi1],條|条[tiao2]"	""
"浪費"	"làngfèi"	"6"	"to waste"	"to squander"	""
"撈"	"lāo"	"6"	"to fish up"	"to dredge up"	""
"牢"	"láo"	"6"	"firm"	"sturdy, fold (for animals), sacrifice, prison"	""
"騷"	"sao1"	"6"	"trouble"	"disturbance, rumpus, flirty, coquettish, abbr. for 離騷|离骚[Li2 Sao1], literary writings, smell of urine, foul smell, male (animal) (dialect)"	"牢騷 (láosāo)"
"牢騷"	"láosāo"	"6"	"discontent"	"complaint, to complain"	""
"勞"	"lao2"	"6"	"to toil"	"labor, laborer, to put sb to trouble (of doing sth), meritorious deed, to console (Taiwan pr. [lao4] for this sense)"	"勞動 (láodòng)"
"勞動"	"láodòng"	"6"	"work"	"toil, physical labor, CL:次[ci4]"	""
"勞工"	"láogōng"	"6"	"labor"	"laborer"	""
"勞力"	"láolì"	"6"	"labor"	"able-bodied worker, laborer, work force"	""
"嘮"	"lao2 lao4"	"6"	"to chatter"	"to gossip, to chat (dialect)"	"嘮叨 (láodao)"
"叨"	"dao1 tao1"	"6"	"garrulous"	"to receive the benefit of"	"嘮叨 (láodao)"
"嘮叨"	"láodao"	"6"	"to prattle"	"to chatter away, to nag, garrulous, nagging"	""
"老百姓"	"lăobăixìng"	"6"	"ordinary people"	"the ""person in the street"", CL:個|个[ge4]"	""
"老闆娘"	"lăobănniáng"	"6"	"female proprietor"	"lady boss, boss's wife"	""
"老大"	"lăodà"	"6"	"old age"	"very, eldest child in a family, leader of a group, boss, captain of a boat, leader of a criminal gang"	""
"老家"	"lăojiā"	"6"	"native place"	"place of origin, home state or region"	""
"老實說"	"lăoshíshuō"	"6"	"honestly speaking"	"to be frank, ..."	""
"老太太"	"lăotàitai"	"6"	"elderly lady (respectful)"	"esteemed mother, CL:位[wei4]"	""
"樂意"	"lèyì"	"6"	"to be willing to do sth"	"to be ready to do sth, to be happy to do sth, content, satisfied"	""
"類似"	"lèisì"	"6"	"similar"	"analogous"	""
"冷靜"	"lěngjìng"	"6"	"calm"	"cool-headed"	""
"冷飲"	"lěngyĭn"	"6"	"cold drink"	""	""
"梨"	"lí"	"6"	"pear"	"CL:個|个[ge4]"	""
"理由"	"lĭyóu"	"6"	"reason"	"grounds, justification, CL:個|个[ge4]"	""
"禮品"	"lĭpĭn"	"6"	"gift"	"present"	""
"力氣"	"lìqi"	"6"	"strength"	"CL:把[ba3]"	""
"立場"	"lìchăng"	"6"	"position"	"standpoint, CL:個|个[ge4]"	""
"立即"	"lìjí"	"6"	"immediately"	""	""
"潤"	"run4"	"6"	"to moisten"	"to lubricate, to embellish, moist, glossy, sleek"	"利潤 (lìrùn)"
"利潤"	"lìrùn"	"6"	"profits"	""	""
"利息"	"lìxí"	"6"	"interest (on a loan)"	"CL:筆|笔[bi3]"	""
"例外"	"lìwài"	"6"	"exception"	"to be an exception"	""
"粒"	"lì"	"6"	"grain"	"granule, classifier for small round things (peas, bullets, peanuts, pills, grains etc)"	""
"聯"	"lián"	"6"	"to ally"	"to unite, to join, (poetry) antithetical couplet"	"聯合 (liánhé)"
"聯合"	"liánhé"	"6"	"to combine"	"to join, unite, alliance"	""
"聯合國"	"liánhéguó"	"6"	"United Nations"	""	""
"連接"	"liánjiē"	"6"	"to link"	"to join, to attach, connection, a link (on web page)"	""
"連忙"	"liánmáng"	"6"	"promptly"	"at once"	""
"連續"	"liánxù"	"6"	"continuous"	"in a row, serial, consecutive"	""
"臉色"	"liănsè"	"6"	"complexion"	"look"	""
"糧"	"liang2"	"6"	"grain"	"food, provisions, agricultural tax paid in grain"	"糧食 (liángshí)"
"糧食"	"liángshí"	"6"	"foodstuff"	"cereals, CL:種|种[zhong3]"	""
"倆"	"liăng"	"6"	"two (colloquial equivalent of 兩個|两个)"	"both, some"	""
"諒解"	"liàngjiě"	"6"	"to understand"	"to make allowances for, understanding"	""
"裂"	"liè"	"6"	"to split"	"to crack, to break open, to rend"	""
"臨時"	"línshí"	"6"	"as the time draws near"	"at the last moment, temporary, interim, ad hoc"	""
"凌"	"ling2"	"6"	"surname Ling"	"to approach, to rise high, thick ice, to insult or maltreat"	"凌晨 (língchén)"
"晨"	"chen2"	"6"	"morning"	"dawn, daybreak"	"凌晨 (língchén)"
"凌晨"	"língchén"	"6"	"very early in the morning"	"in the wee hours"	""
"靈活"	"línghuó"	"6"	"flexible"	"nimble, agile"	""
"零件"	"língjiàn"	"6"	"part"	"component"	""
"零售"	"língshòu"	"6"	"to retail"	"to sell individually or in small quantities"	""
"零下"	"língxià"	"6"	"below zero"	""	""
"領帶"	"lĭngdài"	"6"	"necktie"	"CL:條|条[tiao2]"	""
"領土"	"lĭngtŭ"	"6"	"territory"	""	""
"領先"	"lĭngxiān"	"6"	"to lead"	"to be in front"	""
"袖"	"xiu4"	"6"	"sleeve"	"to tuck inside one's sleeve"	"領袖 (lĭngxiù)"
"領袖"	"lĭngxiù"	"6"	"leader"	"CL:個|个[ge4],位[wei4],名[ming2]"	""
"另"	"lìng"	"6"	"other"	"another, separate, separately"	""
"另外"	"lìngwài"	"6"	"additional"	"in addition, besides, separate, other, moreover, furthermore"	""
"溜"	"liū"	"6"	"to slip away"	"to escape in stealth, to skate"	""
"流動"	"liúdòng"	"6"	"to flow"	"to circulate, to go from place to place, to be mobile, (of assets) liquid"	""
"流利"	"liúlì"	"6"	"fluent"	""	""
"留念"	"liúniàn"	"6"	"to keep as a souvenir"	"to recall fondly"	""
"嘍"	"lóu"	"6"	"subordinates in gang of bandits"	"(final particle equivalent to 了[le5]), (particle calling attention to, or mildly warning of, a situation)"	""
"摟"	"lǒu"	"6"	"to draw towards oneself"	"to gather, to gather up (one's gown, sleeves etc), to grab (money), to extort, to hug, to embrace, to hold in one's arms"	""
"路燈"	"lùdēng"	"6"	"street lamp"	"street light"	""
"路線"	"lùxiàn"	"6"	"itinerary"	"route, political line (e.g. right revisionist road), CL:條|条[tiao2]"	""
"陸軍"	"lùjūn"	"6"	"army"	"ground forces"	""
"陸續"	"lùxù"	"6"	"in turn"	"successively, one after the other, bit by bit"	""
"錄用"	"lùyòng"	"6"	"to hire (an employee)"	""	""
"輪船"	"lúnchuán"	"6"	"steamship"	"steamer, ocean liner, ship, CL:艘[sou1]"	""
"輪流"	"lúnliú"	"6"	"to alternate"	"to take turns"	""
"輪子"	"lúnzi"	"6"	"wheel"	"CL:個|个[ge4]"	""
"論文"	"lùnwén"	"6"	"paper"	"treatise, thesis, CL:篇[pian1], to discuss a paper or thesis (old)"	""
"落後"	"luòhòu"	"6"	"to fall behind"	"to lag (in technology etc), backward, to retrogress"	""
"落實"	"luòshí"	"6"	"practical"	"workable, to implement, to carry out, to decide"	""
"伍"	"wu3"	"6"	"surname Wu"	"squad of five soldiers, to associate with, five (banker's anti-fraud numeral)"	"落伍 (luòwŭ)"
"落伍"	"luòwŭ"	"6"	"to fall behind the ranks"	"to be outdated"	""
"旅行社"	"lǚxíngshè"	"6"	"travel agency"	""	""
"綠豆"	"lǜdòu"	"6"	"mung bean"	""	""
"雀"	"qiao1 que4"	"6"	"a freckle"	"lentigo, small bird, sparrow, also pr. [qiao3]"	"麻雀 (máquè)"
"麻雀"	"máquè"	"6"	"sparrow"	"(dialect) mahjong"	""
"馬虎"	"măhu"	"6"	"careless"	"sloppy, negligent, skimpy"	""
"埋"	"mái"	"6"	"to bury"	"to blame"	""
"買單"	"măidān"	"6"	"to pay the restaurant bill"	""	""
"買賣"	"măimài"	"6"	"buying and selling"	"business, business transactions, CL:樁|桩[zhuang1],次[ci4]"	""
"饅"	"man2"	"6"	"steamed bread"	""	"饅頭 (mántou)"
"饅頭"	"mántou"	"6"	"steamed roll"	"steamed bun, steamed bread, CL:個|个[ge4]"	""
"漫畫"	"mànhuà"	"6"	"caricature"	"cartoon, Japanese manga"	""
"碌"	"liu4"	"6"	"variant of 碌[liu4]"	""	"忙碌 (mánglù)"
"忙碌"	"mánglù"	"6"	"busy"	"bustling"	""
"盲"	"mang2"	"6"	"blind"	""	"盲目 (mángmù)"
"盲目"	"mángmù"	"6"	"blind"	"blindly, ignorant, lacking understanding"	""
"矛"	"mao2"	"6"	"spear"	"lance, pike"	"矛盾 (máodùn)"
"盾"	"dun4"	"6"	"shield"	"(currency) Vietnamese dong, currency unit of several countries (Indonesian rupiah, Dutch gulden etc)"	"矛盾 (máodùn)"
"矛盾"	"máodùn"	"6"	"contradiction"	"CL:個|个[ge4], conflicting views, contradictory"	""
"巾"	"jin1"	"6"	"towel"	"general purpose cloth, women's headcovering (old), Kangxi radical 50"	"毛巾 (máojīn)"
"毛巾"	"máojīn"	"6"	"towel"	"CL:條|条[tiao2]"	""
"煤"	"méi"	"6"	"coal"	"CL:塊|块[kuai4]"	""
"梅"	"mei2"	"6"	"old variant of 梅[mei2]"	""	"梅花 (méihuā)"
"梅花"	"méihuā"	"6"	"plum blossom"	"clubs ♣ (a suit in card games), wintersweet (dialect)"	""
"美觀"	"měiguān"	"6"	"pleasing to the eye"	"beautiful, artistic"	""
"妙"	"miào"	"6"	"variant of 妙[miao4]"	""	"美妙 (měimiào)"
"美妙"	"měimiào"	"6"	"beautiful"	"wonderful, splendid"	""
"魅"	"mei4"	"6"	"demon"	"magic, to charm"	"魅力 (mèilì)"
"魅力"	"mèilì"	"6"	"charm"	"fascination, glamor, charisma"	""
"門票"	"ménpiào"	"6"	"ticket (for theater, cinema etc)"	""	""
"診"	"zhen3"	"6"	"to examine or treat medically"	""	"門診 (ménzhěn)"
"門診"	"ménzhěn"	"6"	"outpatient service"	""	""
"猛"	"měng"	"6"	"ferocious"	"fierce, violent, brave, suddenly, abrupt, (slang) awesome"	""
"夢到"	"mèngdào"	"6"	""	""	""
"夢想"	"mèngxiăng"	"6"	"(fig.) to dream of"	"dream"	""
"迷糊"	"míhu"	"6"	"muddle-headed"	"dazed, only half conscious"	""
"迷失"	"míshī"	"6"	"to lose (one's bearings)"	"to get lost"	""
"迷信"	"míxìn"	"6"	"superstition"	"to have a superstitious belief (in sth)"	""
"蜜蜂"	"mìfēng"	"6"	"bee"	"honeybee, CL:隻|只[zhi1],群[qun2]"	""
"棉"	"mián"	"6"	"generic term for cotton or kapok"	"cotton, padded or quilted with cotton"	""
"棉被"	"miánbèi"	"6"	"comforter"	"quilt, CL:條|条[tiao2],面[mian4]"	""
"棉花"	"miánhua"	"6"	"cotton"	""	""
"免得"	"miănde"	"6"	"so as not to"	"so as to avoid"	""
"勉"	"mian3"	"6"	"to exhort"	"to make an effort"	"勉強 (miǎnqiǎng)"
"勉強"	"miǎnqiǎng"	"6"	"to do with difficulty"	"to force sb to do sth, reluctant, barely enough"	""
"面對"	"miànduì"	"6"	"to confront"	"to face"	""
"面臨"	"miànlín"	"6"	"to face sth"	"to be confronted with"	""
"面貌"	"miànmào"	"6"	"appearance"	"face, features, CL:個|个[ge4]"	""
"面子"	"miànzi"	"6"	"outer surface"	"outside, honor, reputation, face (as in ""losing face""), self-respect, feelings, (medicinal) powder"	""
"麵粉"	"miànfěn"	"6"	"flour"	""	""
"滅"	"miè"	"6"	"to extinguish or put out"	"to go out (of a fire etc), to exterminate or wipe out, to drown"	"滅亡 (mièwáng)"
"亡"	"wang2"	"6"	"old variant of 亡[wang2]"	""	"滅亡 (mièwáng)"
"滅亡"	"mièwáng"	"6"	"to be destroyed"	"to become extinct, to perish, to die out, to destroy, to exterminate"	""
"民間"	"mínjiān"	"6"	"among the people"	"popular, folk, non-governmental, involving people rather than governments"	""
"謠"	"yao2"	"6"	"popular ballad"	"rumor"	"民謠 (mínyáo)"
"民謠"	"mínyáo"	"6"	"ballad"	"folk song"	""
"民眾"	"mínzhòng"	"6"	"populace"	"masses, the people"	""
"民主"	"mínzhŭ"	"6"	"democracy"	""	""
"名稱"	"míngchēng"	"6"	"name (of a thing)"	"name (of an organization)"	""
"名單"	"míngdān"	"6"	"list (of names)"	""	""
"名牌"	"míngpái"	"6"	"famous brand"	""	""
"名片"	"míngpiàn"	"6"	"(business) card"	""	""
"明亮"	"míngliàng"	"6"	"bright"	"shining, glittering, to become clear"	""
"明明"	"míngmíng"	"6"	"obviously"	"plainly, undoubtedly, definitely"	""
"明確"	"míngquè"	"6"	"clear-cut"	"definite, explicit, to clarify, to specify, to make definite"	""
"命令"	"mìnglìng"	"6"	"order"	"command, CL:道[dao4],個|个[ge4]"	""
"命運"	"mìngyùn"	"6"	"fate"	"destiny, CL:個|个[ge4]"	""
"磨"	"mó"	"6"	"to rub"	"to grind, to polish, to sharpen, to wear down, to die out, to waste time, to pester, to insist, grindstone, to grind, to turn round"	""
"仿"	"fang3 pang2"	"6"	"seemingly"	"irresolute"	"模仿 (mófăng)"
"模仿"	"mófăng"	"6"	"to imitate"	"to copy, to emulate, to mimic, model"	""
"模糊"	"móhú"	"6"	"vague"	"indistinct, fuzzy"	""
"模型"	"móxíng"	"6"	"model"	"mold, matrix, pattern"	""
"模樣"	"móyàng"	"6"	"look"	"style, appearance, approximation, about, CL:個|个[ge4], also pr. [mo2 yang4]"	""
"抹"	"mŏ"	"6"	"to wipe"	"to smear, to wipe, to erase, classifier for wisps of cloud, light-beams etc, to plaster, to go around, to skirt"	""
"目標"	"mùbiāo"	"6"	"target"	"goal, objective, CL:個|个[ge4]"	""
"目的地"	"mùdìdì"	"6"	"destination (location)"	""	""
"目錄"	"mùlù"	"6"	"catalog"	"table of contents, directory (on computer hard drive), list, contents"	""
"哪怕"	"năpà"	"6"	"even"	"even if, even though, no matter how"	""
"奶粉"	"năifěn"	"6"	"powdered milk"	""	""
"耐用"	"nàiyòng"	"6"	"durable"	""	""
"難道"	"nándào"	"6"	"don't tell me ..."	"could it be that...?"	""
"難得"	"nándé"	"6"	"seldom"	"rare, hard to come by"	""
"難受"	"nánshòu"	"6"	"to feel unwell"	"to suffer pain, to be difficult to bear"	""
"難以"	"nányǐ"	"6"	"hard to (predict, imagine etc)"	""	""
"男性"	"nánxìng"	"6"	"the male sex"	"a male"	""
"腦袋"	"năodai"	"6"	"head"	"skull, brains, mental capability, CL:顆|颗[ke1],個|个[ge4]"	""
"筋"	"jin1"	"6"	"muscle"	"tendon, veins visible under the skin, sth resembling tendons or veins (e.g. fiber in a vegetable)"	"腦筋 (năojīn)"
"腦筋"	"năojīn"	"6"	"brains"	"mind, head, way of thinking"	""
"鬧區"	"nàoqū"	"6"	"downtown"	""	""
"內部"	"nèibù"	"6"	"interior"	"inside (part, section), internal"	""
"內地"	"nèidì"	"6"	"mainland China (PRC excluding Hong Kong and Macau, but including islands such as Hainan)"	"Japan (used in Taiwan during Japanese colonization), inland, interior, hinterland"	""
"內行"	"nèiháng"	"6"	"expert"	"adept, experienced, an expert, a professional"	""
"內科"	"nèikē"	"6"	"internal medicine"	"general medicine"	""
"能幹"	"nénggàn"	"6"	"capable"	"competent"	""
"能源"	"néngyuán"	"6"	"energy"	"power source, CL:個|个[ge4]"	""
"泥"	"ní"	"6"	"mud"	"clay, paste, pulp, restrained"	""
"泥土"	"nítŭ"	"6"	"earth"	"soil, mud, clay"	""
"黏"	"nián"	"6"	"sticky"	"glutinous, (Tw) to adhere, to stick on, to glue"	""
"尿"	"niào"	"6"	"to urinate"	"urine, CL:泡[pao1], see 尿[niao4]"	""
"捏"	"niē"	"6"	"variant of 捏[nie1]"	""	""
"寧"	"ning2 ning4"	"6"	"abbr. for Ningxia Hui Autonomous Region 寧夏回族自治區|宁夏回族自治区[Ning2 xia4 Hui2 zu2 Zi4 zhi4 qu1]"	"abbr. for Nanjing 南京[Nan2 jing1], surname Ning, peaceful, to pacify, to visit (one's parents etc), would rather, to prefer, how (emphatic), Taiwan pr. [ning2]"	"寧可 (níngkě)"
"寧可"	"níngkě"	"6"	"preferably"	"one would prefer to...(or not to...), would rather, (would) be better to, (to pick) the lesser of two evils"	""
"寧願"	"níngyuàn"	"6"	"would rather"	"better"	""
"鈕"	"niu3"	"6"	"surname Niu"	"button"	"鈕扣 (niŭkòu)"
"鈕扣"	"niŭkòu"	"6"	""	""	""
"農場"	"nóngchăng"	"6"	"farm"	""	""
"農產品"	"nóngchănpĭn"	"6"	"agricultural produce"	""	""
"村"	"cun1"	"6"	"variant of 村[cun1]"	"surname Cun"	"農村 (nóngcūn)"
"農村"	"nóngcūn"	"6"	"rural area"	"village, CL:個|个[ge4]"	""
"農民"	"nóngmín"	"6"	"peasant"	"farmer, CL:個|个[ge4]"	""
"農藥"	"nóngyào"	"6"	"agricultural chemical"	"farm chemical, pesticide"	""
"濃"	"nóng"	"6"	"concentrated"	"dense, strong (smell etc)"	""
"濃厚"	"nónghòu"	"6"	"dense"	"thick (fog, clouds etc), to have a strong interest in, deep, fully saturated (color)"	""
"暖氣"	"nuănqì"	"6"	"central heating"	"heater, warm air"	""
"女性"	"nǚxìng"	"6"	"woman"	"the female sex"	""
"偶"	"ou3"	"6"	"accidental"	"image, pair, mate"	"偶然 (ǒurán)"
"偶然"	"ǒurán"	"6"	"incidentally"	"occasional, occasionally, by chance, randomly"	""
"斥"	"chi4"	"6"	"to blame"	"to reprove, to reprimand, to expel, to oust, to reconnoiter, (of territory) to expand, saline marsh"	"排斥 (páichì)"
"排斥"	"páichì"	"6"	"to reject"	"to exclude, to eliminate, to remove, to repel"	""
"排列"	"páiliè"	"6"	"to arrange in order"	"(math.) permutation"	""
"排球"	"páiqiú"	"6"	"volleyball"	"CL:個|个[ge4]"	""
"派"	"pài"	"6"	"clique"	"school, group, faction, to dispatch, to send, to assign, to appoint, pi (Greek letter Ππ), the circular ratio pi = 3.1415926, (loanword) pie"	""
"攀"	"pān"	"6"	"to climb (by pulling oneself up)"	"to implicate, to claim connections of higher status"	""
"判斷"	"pànduàn"	"6"	"to judge"	"to determine, judgment"	""
"泡"	"pào"	"6"	"puffed"	"swollen, spongy, small lake (esp. in place names), classifier for urine or feces, bubble, foam, blister (i.e. skin bubble), to soak, to steep, to infuse, to dawdle, to shilly-shally, to hang about, to pick up (a girl), to get off with (a sexual partner), classifier for occurrences of an action, classifier for number of infusions"	""
"砲"	"pào"	"6"	"variant of 炮[pao4]"	""	""
"賠"	"péi"	"6"	"to compensate for loss"	"to indemnify, to suffer a financial loss"	""
"賠償"	"péicháng"	"6"	"to compensate"	""	""
"陪同"	"péitóng"	"6"	"to accompany"	""	""
"佩"	"pei4"	"6"	"girdle ornaments"	""	"佩服 (pèifu)"
"佩服"	"pèifu"	"6"	"to admire"	""	""
"噴"	"pēn"	"6"	"to puff"	"to spout, to spray, to spurt, (of a smell) strong, peak season (of a crop), (classifier for the ordinal number of a crop, in the context of multiple harvests)"	""
"膨"	"peng2"	"6"	"swollen"	""	"膨脹 (péngzhàng)"
"脹"	"zhang4"	"6"	"dropsical"	"swollen, to swell, to be bloated"	"膨脹 (péngzhàng)"
"膨脹"	"péngzhàng"	"6"	"to expand"	"to inflate, to swell"	""
"捧"	"pěng"	"6"	"to clasp"	"to cup the hands, to hold up with both hands, to offer (esp. in cupped hands), to praise, to flatter"	""
"碰見"	"pèngjiàn"	"6"	"to run into"	"to meet (unexpectedly), to bump into"	""
"匹"	"pī"	"6"	"variant of 匹[pi3]"	"classifier for cloth: bolt, variant of 雅[ya3]"	""
"批判"	"pīpàn"	"6"	"to criticize"	"critique, CL:個|个[ge4]"	""
"披"	"pī"	"6"	"to drape over one's shoulders"	"to open, to unroll, to split open, to spread out"	""
"疲"	"pi2"	"6"	"weary"	""	"疲倦 (píjuàn)"
"倦"	"juan4"	"6"	"old variant of 倦[juan4]"	""	"疲倦 (píjuàn)"
"疲倦"	"píjuàn"	"6"	"to tire"	"tired"	""
"疲勞"	"píláo"	"6"	"fatigue"	"wearily, weariness, weary"	""
"脾氣"	"píqi"	"6"	"character"	"temperament, disposition, bad temper, CL:個|个[ge4]"	""
"屁"	"pi4"	"6"	"fart"	"flatulence, nonsense, (usu. in the negative) what, (not) a damn thing"	"屁股 (pìgu)"
"股"	"gŭ"	"6"	"thigh"	"part of a whole, portion of a sum, (stock) share, strand of a thread, low-level administrative unit, translated as ""section"" or ""department"" etc, ranked below 科[ke1], classifier for long winding things like ropes, rivers etc, classifier for smoke, smells etc: thread, puff, whiff, classifier for bands of people, gangs etc, classifier for sudden forceful actions"	"屁股 (pìgu)"
"屁股"	"pìgu"	"6"	"buttocks"	"bottom, butt, back part"	""
"偏"	"piān"	"6"	"to lean"	"to slant, oblique, prejudiced, to deviate from average, to stray from the intended line, stubbornly, contrary to expectations, left-hand side of a split Chinese character, often the key or radical"	""
"偏食"	"piānshí"	"6"	"partial to (some kinds of food, usu. unhealthy)"	"having likes and dislikes, partial eclipse"	""
"偏向"	"piānxiàng"	"6"	"partial towards sth"	"to prefer, to incline, erroneous tendencies (Leftist or Revisionist deviation)"	""
"片面"	"piànmiàn"	"6"	"unilateral"	"one-sided"	""
"片子"	"piànzi"	"6"	"film"	"movie, film reel, phonograph record, X-ray image, thin flake, small piece"	""
"飄"	"piāo"	"6"	"to float"	""	""
"拼"	"pīn"	"6"	"to piece together"	"to join together, to stake all, adventurous, at the risk of one's life, to spell"	"拼命 (pīnmìng)"
