"Simplified"	"Traditional"	"Pinyin"	"Level"	"Parent"	"Meaning"
"闪"	"閃"	"shăn"	"6"	""	"to dodge"
"善于"	"善於"	"shànyú"	"6"	""	"to be good at"
"伤脑筋"	"傷腦筋"	"shāngnăojīn"	"6"	""	"to be a real headache"
"商标"	"商標"	"shāngbiāo"	"6"	""	"trademark"
"商场"	"商場"	"shāngchăng"	"6"	""	"shopping mall"
"上级"	"上級"	"shàngjí"	"6"	""	"higher authorities"
"上头"	"上頭"	"shàngtou"	"6"	""	"(of alcohol) to go to one's head"
"少数"	"少數"	"shăoshù"	"6"	""	"small number"
"舌头"	"舌頭"	"shétou"	"6"	""	"tongue"
"舍"	"捨"	"shě"	"6"	"捨不得"	"to give up"
"舍不得"	"捨不得"	"shěbùde"	"6"	""	"to hate to do sth"
"舍得"	"捨得"	"shěde"	"6"	""	"to be willing to part with sth"
"社会"	"社會"	"shèhuì"	"6"	""	"society"
"社团"	"社團"	"shètuán"	"6"	""	"association"
"设立"	"設立"	"shèlì"	"6"	""	"to set up"
"设置"	"設置"	"shèzhì"	"6"	""	"to set up"
"摄"	"攝"	"shè"	"6"	"攝影"	"to take in"
"摄影"	"攝影"	"shèyĭng"	"6"	""	"to take a photograph"
"申请"	"申請"	"shēnqĭng"	"6"	""	"to apply for sth"
"身分证"	"身分證"	"shēnfènzhèng"	"6"	""	"identity card"
"深浅"	"深淺"	"shēnqiăn"	"6"	""	"deep or shallow"
"神话"	"神話"	"shénhuà"	"6"	""	"legend"
"神经"	"神經"	"shénjīng"	"6"	""	"nerve"
"神气"	"神氣"	"shénqì"	"6"	""	"expression"
"圣"	"聖"	"shèng"	"6"	"神聖"	"holy"
"神圣"	"神聖"	"shénshèng"	"6"	""	"divine"
"审"	"審"	"shěn"	"6"	"審查"	"to examine"
"审查"	"審查"	"shěnchá"	"6"	""	"to examine"
"升级"	"升級"	"shēngjí"	"6"	""	"to escalate (in intensity)"
"升学"	"升學"	"shēngxué"	"6"	""	"to enter the next grade school"
"生长"	"生長"	"shēngzhăng"	"6"	""	"to grow"
"绳"	"繩"	"shéng"	"6"	""	"rope"
"胜"	"勝"	"shèng"	"6"	""	"victory"
"胜利"	"勝利"	"shènglì"	"6"	""	"victory"
"失败"	"失敗"	"shībài"	"6"	""	"to be defeated"
"失业"	"失業"	"shīyè"	"6"	""	"unemployment"
"诗"	"詩"	"shī"	"6"	""	"poem"
"诗人"	"詩人"	"shīrén"	"6"	""	"bard"
"师父"	"師父"	"shīfu"	"6"	""	"used for 師傅|师傅 (in Taiwan)"
"师傅"	"師傅"	"shīfù"	"6"	""	"master"
"师母"	"師母"	"shīmŭ"	"6"	""	"term of respect for your teacher's wife"
"时常"	"時常"	"shícháng"	"6"	""	"often"
"时机"	"時機"	"shíjī"	"6"	""	"fortunate timing"
"时期"	"時期"	"shíqí"	"6"	""	"period"
"时时"	"時時"	"shíshí"	"6"	""	"often"
"实用"	"實用"	"shíyòng"	"6"	""	"practical"
"实施"	"實施"	"shíshī"	"6"	""	"to implement"
"实现"	"實現"	"shíxiàn"	"6"	""	"to achieve"
"实验"	"實驗"	"shíyàn"	"6"	""	"experiment"
"始终"	"始終"	"shĭzhōng"	"6"	""	"from beginning to end"
"式样"	"式樣"	"shìyàng"	"6"	""	"style"
"世纪"	"世紀"	"shìjì"	"6"	""	"century"
"市区"	"市區"	"shìqū"	"6"	""	"urban district"
"视野"	"視野"	"shìyě"	"6"	""	"field of view"
"适当"	"適當"	"shìdàng"	"6"	""	"suitable"
"适合"	"適合"	"shìhé"	"6"	""	"to fit"
"适用"	"適用"	"shìyòng"	"6"	""	"to be applicable"
"事实上"	"事實上"	"shìshíshàng"	"6"	""	"in fact"
"势"	"勢"	"shì"	"6"	"勢力"	"power"
"势力"	"勢力"	"shìlì"	"6"	""	"power"
"试验"	"試驗"	"shìyàn"	"6"	""	"experiment"
"收据"	"收據"	"shōujù"	"6"	""	"receipt"
"手电筒"	"手電筒"	"shŏudiàntŏng"	"6"	""	"flashlight"
"手术"	"手術"	"shŏushù"	"6"	""	"(surgical) operation"
"寿"	"壽"	"shòu"	"6"	"壽命"	"long life"
"寿命"	"壽命"	"shòumìng"	"6"	""	"life span"
"书房"	"書房"	"shūfáng"	"6"	""	"study (room)"
"书籍"	"書籍"	"shūjí"	"6"	""	"books"
"输出"	"輸出"	"shūchū"	"6"	""	"to export"
"输入"	"輸入"	"shūrù"	"6"	""	"to import"
"熟练"	"熟練"	"shúliàn"	"6"	""	"practiced"
"属于"	"屬於"	"shŭyú"	"6"	""	"to be classified as"
"数量"	"數量"	"shùliàng"	"6"	""	"amount"
"数目"	"數目"	"shùmù"	"6"	""	"amount"
"树林"	"樹林"	"shùlín"	"6"	""	"woods"
"率领"	"率領"	"shuàilĭng"	"6"	""	"to lead"
"双胞胎"	"雙胞胎"	"shuāngbāotāi"	"6"	""	"twin"
"双方"	"雙方"	"shuāngfāng"	"6"	""	"bilateral"
"水灾"	"水災"	"shuǐzāi"	"6"	""	"flood"
"税"	"稅"	"shuì"	"6"	""	"taxes"
"说服"	"說服"	"shuìfú"	"6"	""	"to persuade"
"顺手"	"順手"	"shùnshŏu"	"6"	""	"easily"
"顺序"	"順序"	"shùnxù"	"6"	""	"sequence"
"说不定"	"說不定"	"shuōbudìng"	"6"	""	"can't say for sure"
"硕"	"碩"	"shuò"	"6"	"碩士"	"large"
"硕士"	"碩士"	"shuòshì"	"6"	""	"master's degree"
"丝"	"絲"	"sī"	"6"	""	"silk"
"四处"	"四處"	"sìchù"	"6"	""	"all over the place"
"饲"	"飼"	"sì"	"6"	"飼養"	"to raise"
"饲养"	"飼養"	"sìyăng"	"6"	""	"to raise"
"俗话"	"俗話"	"súhuà"	"6"	""	"common saying"
"俗话说"	"俗話說"	"súhuàshuō"	"6"	""	"as the proverb says"
"算帐"	"算帳"	"suànzhàng"	"6"	""	"to reckon (accounting)"
"随手"	"隨手"	"suíshŏu"	"6"	""	"conveniently"
"随意"	"隨意"	"suíyì"	"6"	""	"as one wishes"
"随着"	"隨著"	"suízhe"	"6"	""	"along with"
"岁数"	"歲數"	"suìshu"	"6"	""	"age (number of years old)"
"孙"	"孫"	"sūn"	"6"	"孫女"	"grandson"
"孙女"	"孫女"	"sūnnǚ"	"6"	""	"son's daughter"
"孙子"	"孫子"	"sūnzi"	"6"	""	"Sun Tzu, also known as Sun Wu 孫武|孙武[Sun1 Wu3] (c. 500 BC, dates of birth and death uncertain), general, strategist and philosopher of the Spring and Autumn Period (700-475 BC), believed to be the author of the “Art of War” 孫子兵法|孙子兵法[Sun1 zi3 Bing1 fa3], one of the Seven Military Classics of ancient China 武經七書|武经七书[Wu3 jing1 Qi1 shu1]"
"损"	"損"	"sŭn"	"6"	"損失"	"to decrease"
"损失"	"損失"	"sŭnshī"	"6"	""	"loss"
"缩"	"縮"	"suō"	"6"	""	"to withdraw"
"缩短"	"縮短"	"suōduăn"	"6"	""	"to curtail"
"缩水"	"縮水"	"suōshuĭ"	"6"	""	"to shrink (in the wash)"
"锁"	"鎖"	"suŏ"	"6"	""	"to lock up"
"抬头"	"抬頭"	"táitóu"	"6"	""	"to raise one's head"
"摊子"	"攤子"	"tānzi"	"6"	""	"booth"
"弹"	"彈"	"tán"	"6"	""	"crossball"
"谈判"	"談判"	"tánpàn"	"6"	""	"to negotiate"
"探亲"	"探親"	"tànqīn"	"6"	""	"to go home to visit one's family"
"探讨"	"探討"	"tàntăo"	"6"	""	"to investigate"
"烫"	"燙"	"tàng"	"6"	""	"to scald"
"淘气"	"淘氣"	"táoqì"	"6"	""	"naughty"
"特点"	"特點"	"tèdiăn"	"6"	""	"characteristic (feature)"
"体温"	"體溫"	"tĭwēn"	"6"	""	"(body) temperature"
"体验"	"體驗"	"tǐyàn"	"6"	""	"to experience for oneself"
"挑选"	"挑選"	"tiāoxuăn"	"6"	""	"to choose"
"条约"	"條約"	"tiáoyuē"	"6"	""	"treaty"
"调整"	"調整"	"tiáozhěng"	"6"	""	"to adjust"
"跳远"	"跳遠"	"tiàoyuăn"	"6"	""	"long jump (athletics)"
"贴心"	"貼心"	"tiēxīn"	"6"	""	"intimate"
"讯"	"訊"	"xùn"	"6"	"通訊"	"to question"
"通讯"	"通訊"	"tōngxùn"	"6"	""	"communications"
"铜"	"銅"	"tóng"	"6"	""	"copper (chemistry)"
"统计"	"統計"	"tǒngjì"	"6"	""	"statistics"
"统一"	"統一"	"tǒngyī"	"6"	""	"to unify"
"统治"	"統治"	"tǒngzhì"	"6"	""	"to rule (a country)"
"头脑"	"頭腦"	"tóunăo"	"6"	""	"brains"
"透过"	"透過"	"tòuguò"	"6"	""	"to pass through"
"秃"	"禿"	"tū"	"6"	""	"bald"
"径"	"徑"	"jìng"	"6"	"途徑"	"footpath"
"途径"	"途徑"	"tújìng"	"6"	""	"way"
"图书"	"圖書"	"túshū"	"6"	""	"books (in a library or bookstore)"
"图章"	"圖章"	"túzhāng"	"6"	""	"stamp"
"团结"	"團結"	"tuánjié"	"6"	""	"to unite"
"推动"	"推動"	"tuīdòng"	"6"	""	"to push (for acceptance of a plan)"
"推广"	"推廣"	"tuīguăng"	"6"	""	"to extend"
"托儿所"	"托兒所"	"tuōérsuŏ"	"6"	""	"nursery"
"脱离"	"脫離"	"tuōlí"	"6"	""	"to separate oneself from"
"妥当"	"妥當"	"tuǒdang"	"6"	""	"appropriate"
"妥协"	"妥協"	"tuŏxié"	"6"	""	"to compromise"
"外观"	"外觀"	"wàiguān"	"6"	""	"exterior appearance"
"外汇"	"外匯"	"wàihuì"	"6"	""	"foreign (currency) exchange"
"外头"	"外頭"	"wàitou"	"6"	""	"outside"
"弯"	"彎"	"wān"	"6"	""	"to bend"
"弯腰"	"彎腰"	"wānyāo"	"6"	""	"to stoop"
"完毕"	"完畢"	"wánbì"	"6"	""	"to finish"
"晚辈"	"晚輩"	"wănbèi"	"6"	""	"the younger generation"
"胁"	"脅"	"xié"	"6"	"威脅"	"flank (the side of one's torso)"
"威胁"	"威脅"	"wēixié"	"6"	""	"to threaten"
"违"	"違"	"wéi"	"6"	"違反"	"to disobey"
"违反"	"違反"	"wéifăn"	"6"	""	"to violate (a law)"
"维护"	"維護"	"wéihù"	"6"	""	"to defend"
"维他命"	"維他命"	"wéitāmìng"	"6"	""	"vitamin (loanword)"
"危机"	"危機"	"wéijī"	"6"	""	"crisis"
"为难"	"為難"	"wéinán"	"6"	""	"to feel embarrassed or awkward"
"委托"	"委託"	"wěituō"	"6"	""	"to entrust"
"委员"	"委員"	"wěiyuán"	"6"	""	"committee member"
"位于"	"位於"	"wèiyú"	"6"	""	"to be located at"
"为何"	"為何"	"wèihé"	"6"	""	"why"
"卫生"	"衛生"	"wèishēng"	"6"	""	"health"
"卫生纸"	"衛生紙"	"wèishēngzhĭ"	"6"	""	"toilet paper"
"卫星"	"衛星"	"wèixīng"	"6"	""	"satellite"
"慰问"	"慰問"	"wèiwèn"	"6"	""	"to express sympathy, greetings, consolation etc"
"温和"	"溫和"	"wēnhé"	"6"	""	"mild"
"文凭"	"文憑"	"wénpíng"	"6"	""	"diploma"
"文艺"	"文藝"	"wényì"	"6"	""	"literature and art"
"卧房"	"臥房"	"wòfáng"	"6"	""	"bedroom"
"无可奈何"	"無可奈何"	"wúkěnàihé"	"6"	""	"have no way out"
"无论"	"無論"	"wúlùn"	"6"	""	"no matter what or how"
"无情"	"無情"	"wúqíng"	"6"	""	"pitiless"
"无数"	"無數"	"wúshù"	"6"	""	"countless"
"无限"	"無限"	"wúxiàn"	"6"	""	"unlimited"
"无意"	"無意"	"wúyì"	"6"	""	"inadvertent"
"武术"	"武術"	"wŭshù"	"6"	""	"military skill or technique (in former times)"
"舞厅"	"舞廳"	"wŭtīng"	"6"	""	"dance hall"
"物质"	"物質"	"wùzhí"	"6"	""	"matter"
"误点"	"誤點"	"wùdiăn"	"6"	""	"not on time"
"雾"	"霧"	"wù"	"6"	""	"fog"
"西装"	"西裝"	"xīzhuāng"	"6"	""	"suit"
"媳妇"	"媳婦"	"xífù"	"6"	""	"daughter-in-law"
"喜剧"	"喜劇"	"xǐjù"	"6"	""	"comedy"
"细胞"	"細胞"	"xìbāo"	"6"	""	"cell (biology)"
"细节"	"細節"	"xìjié"	"6"	""	"details"
"细菌"	"細菌"	"xìjùn"	"6"	""	"bacterium"
"细小"	"細小"	"xìxiăo"	"6"	""	"tiny"
"虾"	"蝦"	"xiā"	"6"	""	"shrimp"
"虾米"	"蝦米"	"xiāmi"	"6"	""	"small shrimp"
"先进"	"先進"	"xiānjìn"	"6"	""	"advanced (technology)"
"鲜花"	"鮮花"	"xiānhuā"	"6"	""	"flower"
"鲜奶"	"鮮奶"	"xiānnăi"	"6"	""	"fresh milk"
"鲜血"	"鮮血"	"xiānxiě"	"6"	""	"blood"
"闲"	"閒"	"xián"	"6"	""	"unoccupied"
"显得"	"顯得"	"xiănde"	"6"	""	"to seem"
"显然"	"顯然"	"xiănrán"	"6"	""	"clear"
"显示"	"顯示"	"xiănshì"	"6"	""	"to show"
"显著"	"顯著"	"xiănzhù"	"6"	""	"outstanding"
"现场"	"現場"	"xiànchăng"	"6"	""	"the scene (of a crime, accident etc)"
"现成"	"現成"	"xiànchéng"	"6"	""	"ready-made"
"现金"	"現金"	"xiànjīn"	"6"	""	"cash"
"羡"	"羨"	"xiàn"	"6"	"羨慕"	"to envy"
"羡慕"	"羨慕"	"xiànmù"	"6"	""	"to envy"
"相处"	"相處"	"xiāngchŭ"	"6"	""	"to be in contact (with sb)"
"相亲相爱"	"相親相愛"	"xiāngqīnxiāngài"	"6"	""	"to be kind and love one another (idiom); bound by deep emotions"
"肠"	"腸"	"cháng"	"6"	"香腸"	"intestines"
"香肠"	"香腸"	"xiāngcháng"	"6"	""	"sausage"
"乡村"	"鄉村"	"xiāngcūn"	"6"	""	"rustic"
"响应"	"響應"	"xiăngyìng"	"6"	""	"to respond to"
"相亲"	"相親"	"xiàngqīn"	"6"	""	"blind date"
"向来"	"向來"	"xiànglái"	"6"	""	"always (previously)"
"项目"	"項目"	"xiàngmù"	"6"	""	"item"
"消费"	"消費"	"xiāofèi"	"6"	""	"to consume"
"消极"	"消極"	"xiāojí"	"6"	""	"negative"
"消灭"	"消滅"	"xiāomiè"	"6"	""	"to put an end to"
"销路"	"銷路"	"xiāolù"	"6"	""	"sale"
"销售"	"銷售"	"xiāoshòu"	"6"	""	"to sell"
"小费"	"小費"	"xiăofèi"	"6"	""	"tip"
"麦"	"麥"	"mài"	"6"	"小麥"	"wheat"
"小麦"	"小麥"	"xiăomài"	"6"	""	"wheat"
"小气"	"小氣"	"xiăoqì"	"6"	""	"stingy"
"晓"	"曉"	"xiǎo"	"6"	"曉得"	"dawn"
"晓得"	"曉得"	"xiăode"	"6"	""	"to know"
"校车"	"校車"	"xiàochē"	"6"	""	"school bus"
"心灵"	"心靈"	"xīnlíng"	"6"	""	"bright"
"心声"	"心聲"	"xīnshēng"	"6"	""	"thoughts"
"心脏"	"心臟"	"xīnzàng"	"6"	""	"heart"
"新兴"	"新興"	"xīnxīng"	"6"	""	"new"
"信号"	"信號"	"xìnhào"	"6"	""	"signal"
"形状"	"形狀"	"xíngzhuàng"	"6"	""	"form"
"性质"	"性質"	"xìngzhí"	"6"	""	"nature"
"雄伟"	"雄偉"	"xióngwěi"	"6"	""	"grand"
"休闲"	"休閒"	"xiūxián"	"6"	""	"leisure"
"须知"	"須知"	"xūzhī"	"6"	""	"key information"
"许愿"	"許願"	"xŭyuàn"	"6"	""	"to make a wish"
"宣传"	"宣傳"	"xuānchuán"	"6"	""	"to disseminate"
"悬"	"懸"	"xuán"	"6"	""	"to hang or suspend"
"选手"	"選手"	"xuănshŏu"	"6"	""	"athlete"
"学历"	"學歷"	"xuélì"	"6"	""	"educational background"
"学术"	"學術"	"xuéshù"	"6"	""	"learning"
"学位"	"學位"	"xuéwèi"	"6"	""	"academic degree"
"学业"	"學業"	"xuéyè"	"6"	""	"studies"
"学者"	"學者"	"xuézhě"	"6"	""	"scholar"
"削减"	"削減"	"xuèjiăn"	"6"	""	"to cut down"
"循环"	"循環"	"xúnhuán"	"6"	""	"to cycle"
"压"	"壓"	"yā"	"6"	""	"to press"
"压力"	"壓力"	"yālì"	"6"	""	"pressure"
"压迫"	"壓迫"	"yāpò"	"6"	""	"to oppress"
"严格"	"嚴格"	"yángé"	"6"	""	"strict"
"肃"	"肅"	"sù"	"6"	"嚴肅"	"respectful"
"严肃"	"嚴肅"	"yánsù"	"6"	""	"solemn"
"盐巴"	"鹽巴"	"yánbā"	"6"	""	"table salt"
"延长"	"延長"	"yáncháng"	"6"	""	"to prolong"
"掩盖"	"掩蓋"	"yăngài"	"6"	""	"to conceal"
"宴会"	"宴會"	"yànhuì"	"6"	""	"banquet"
"厌恶"	"厭惡"	"yànwù"	"6"	""	"to loathe"
"痒"	"癢"	"yăng"	"6"	""	"to itch"
"氧气"	"氧氣"	"yăngqì"	"6"	""	"oxygen"
"样品"	"樣品"	"yàngpĭn"	"6"	""	"sample"
"摇"	"搖"	"yáo"	"6"	""	"to shake"
"摇摆"	"搖擺"	"yáobăi"	"6"	""	"to sway"
"摇头"	"搖頭"	"yáotóu"	"6"	""	"to shake one's head"
"药方"	"藥方"	"yàofāng"	"6"	""	"prescription"
"药水"	"藥水"	"yàoshuĭ"	"6"	""	"Yaksu in North Korea, near the border with Liaoning and Jiling province"
"药物"	"藥物"	"yàowù"	"6"	""	"medicaments"
"兽"	"獸"	"shòu"	"6"	"野獸"	"beast"
"野兽"	"野獸"	"yěshòu"	"6"	""	"beast"
"业务"	"業務"	"yèwù"	"6"	""	"business"
"业余"	"業餘"	"yèyú"	"6"	""	"in one's spare time"
"叶子"	"葉子"	"yèzi"	"6"	""	"foliage"
"依据"	"依據"	"yījù"	"6"	""	"according to"
"医师"	"醫師"	"yīshī"	"6"	""	"doctor"
"医学"	"醫學"	"yīxué"	"6"	""	"medicine"
"一带"	"一帶"	"yīdài"	"6"	""	"region"
"移动"	"移動"	"yídòng"	"6"	""	"to move"
"疑问"	"疑問"	"yíwèn"	"6"	""	"question"
"仪"	"儀"	"yí"	"6"	"儀器"	"apparatus"
"仪器"	"儀器"	"yíqì"	"6"	""	"instrument"
"仪式"	"儀式"	"yíshì"	"6"	""	"ceremony"
"一口气"	"一口氣"	"yīkŏuqì"	"6"	""	"one breath"
"一齐"	"一齊"	"yīqí"	"6"	""	"at the same time"
"意识"	"意識"	"yìshì"	"6"	""	"consciousness"
"意愿"	"意願"	"yìyuàn"	"6"	""	"aspiration"
"亿"	"億"	"yì"	"6"	""	"100 million"
"义务"	"義務"	"yìwù"	"6"	""	"duty"
"议会"	"議會"	"yìhuì"	"6"	""	"parliament"
"引发"	"引發"	"yĭnfā"	"6"	""	"to lead to"
"饮食"	"飲食"	"yĭnshí"	"6"	""	"food and drink"
"应当"	"應當"	"yīngdāng"	"6"	""	"should"
"婴"	"嬰"	"yīng"	"6"	"嬰兒"	"infant"
"婴儿"	"嬰兒"	"yīngér"	"6"	""	"infant"
"赢得"	"贏得"	"yíngdé"	"6"	""	"to win"
"营业"	"營業"	"yíngyè"	"6"	""	"to do business"
"应付"	"應付"	"yìngfù"	"6"	""	"to deal with"
"应邀"	"應邀"	"yìngyāo"	"6"	""	"at sb's invitation"
"应用"	"應用"	"yìngyòng"	"6"	""	"to use"
"拥抱"	"擁抱"	"yŏngbào"	"6"	""	"to embrace"
"拥护"	"擁護"	"yŏnghù"	"6"	""	"to endorse"
"拥挤"	"擁擠"	"yŏngjĭ"	"6"	""	"crowded"
"勇气"	"勇氣"	"yŏngqì"	"6"	""	"courage"
"用不着"	"用不著"	"yòngbùzháo"	"6"	""	"not need"
"用处"	"用處"	"yòngchu"	"6"	""	"usefulness"
"用得着"	"用得著"	"yòngdezháo"	"6"	""	"to be able to use"
"忧"	"憂"	"yōu"	"6"	"憂鬱"	"to worry"
"郁"	"鬱"	"yù"	"6"	"憂鬱"	"dense (growth)"
"忧郁"	"憂鬱"	"yōuyù"	"6"	""	"sullen"
"优惠"	"優惠"	"yōuhuì"	"6"	""	"preferential"
"优良"	"優良"	"yōuliáng"	"6"	""	"fine"
"优美"	"優美"	"yōuměi"	"6"	""	"graceful"
"优越"	"優越"	"yōuyuè"	"6"	""	"superior"
"腻"	"膩"	"nì"	"6"	"油膩"	"greasy"
"油腻"	"油膩"	"yóunì"	"6"	""	"grease"
"邮差"	"郵差"	"yóuchāi"	"6"	""	"(old) postman"
"邮件"	"郵件"	"yóujiàn"	"6"	""	"mail"
"游戏"	"遊戲"	"yóuxì"	"6"	""	"game"
"游行"	"遊行"	"yóuxíng"	"6"	""	"march"
"犹"	"猶"	"yóu"	"6"	"猶豫"	"as if"
"犹豫"	"猶豫"	"yóuyù"	"6"	""	"to hesitate"
"有关"	"有關"	"yŏuguān"	"6"	""	"to have sth to do with"
"娱"	"娛"	"yú"	"6"	"娛樂"	"to amuse"
"娱乐"	"娛樂"	"yúlè"	"6"	""	"to entertain"
"语调"	"語調"	"yŭdiào"	"6"	""	"intonation"
"语气"	"語氣"	"yŭqì"	"6"	""	"tone"
"语音"	"語音"	"yŭyīn"	"6"	""	"speech sounds"
"与其"	"與其"	"yŭqí"	"6"	""	"rather than..."
"遇见"	"遇見"	"yùjiàn"	"6"	""	"to meet"
"预报"	"預報"	"yùbào"	"6"	""	"forecast"
"预定"	"預定"	"yùdìng"	"6"	""	"to schedule in advance"
"预订"	"預訂"	"yùdìng"	"6"	""	"to place an order"
"预计"	"預計"	"yùjì"	"6"	""	"to forecast"
"预算"	"預算"	"yùsuàn"	"6"	""	"budget"
"预先"	"預先"	"yùxiān"	"6"	""	"beforehand"
"原则"	"原則"	"yuánzé"	"6"	""	"principle"
"原则上"	"原則上"	"yuánzéshàng"	"6"	""	"in principle"
"原子笔"	"原子筆"	"yuánzĭbĭ"	"6"	""	"ballpoint pen"
"圆满"	"圓滿"	"yuánmăn"	"6"	""	"satisfactory"
"圆形"	"圓形"	"yuánxíng"	"6"	""	"round"
"缘"	"緣"	"yuán"	"6"	"緣故"	"cause"
"缘故"	"緣故"	"yuángù"	"6"	""	"reason"
"远大"	"遠大"	"yuăndà"	"6"	""	"far-reaching"
"晕"	"暈"	"yūn"	"6"	""	"confused"
"允许"	"允許"	"yŭnxŭ"	"6"	""	"to permit"
"运输"	"運輸"	"yùnshū"	"6"	""	"transport"
"运送"	"運送"	"yùnsòng"	"6"	""	"to transport"
"运用"	"運用"	"yùnyòng"	"6"	""	"to use"
"运转"	"運轉"	"yùnzhuăn"	"6"	""	"to work"
"灾害"	"災害"	"zāihài"	"6"	""	"calamity"
"灾难"	"災難"	"zāinàn"	"6"	""	"disaster"
"再说"	"再說"	"zàishuō"	"6"	""	"to say again"
"咱们"	"咱們"	"zánmen"	"6"	""	"we or us (including both the speaker and the person(s) spoken to)"
"赞"	"贊, 讚"	"zàn"	"6"	"贊成, 讚美"	"to patronize"
"赞成"	"贊成"	"zànchéng"	"6"	""	"to approve"
"赞同"	"贊同"	"zàntóng"	"6"	""	"to approve of"
"赞美"	"讚美"	"zànměi"	"6"	""	"to admire"
"葬礼"	"葬禮"	"zànglĭ"	"6"	""	"burial"
"早点"	"早點"	"zăodiăn"	"6"	""	"breakfast"
"增长"	"增長"	"zēngzhăng"	"6"	""	"to grow"
"赠"	"贈"	"zèng"	"6"	"贈品"	"to give as a present"
"赠品"	"贈品"	"zèngpĭn"	"6"	""	"gift"
"赠送"	"贈送"	"zèngsòng"	"6"	""	"to present as a gift"
"展开"	"展開"	"zhănkāi"	"6"	""	"to unfold"
"览"	"覽"	"lǎn"	"6"	"展覽"	"to look at"
"展览"	"展覽"	"zhănlăn"	"6"	""	"to put on display"
"战场"	"戰場"	"zhànchăng"	"6"	""	"battlefield"
"长辈"	"長輩"	"zhǎngbèi"	"6"	""	"one's elders"
"涨"	"漲"	"zhăng"	"6"	""	"to rise (of prices, rivers)"
"涨价"	"漲價"	"zhăngjià"	"6"	""	"to appreciate (in value)"
"掌声"	"掌聲"	"zhăngshēng"	"6"	""	"applause"
"帐单"	"帳單"	"zhàngdān"	"6"	""	"bill"
"召开"	"召開"	"zhàokāi"	"6"	""	"to convene (a conference or meeting)"
"针对"	"針對"	"zhēnduì"	"6"	""	"to target"
"侦"	"偵"	"zhēn"	"6"	"偵探"	"to scout"
"侦探"	"偵探"	"zhēntàn"	"6"	""	"detective"
"枕头"	"枕頭"	"zhěntou"	"6"	""	"pillow"
"阵"	"陣"	"zhèn"	"6"	""	"disposition of troops"
"阵子"	"陣子"	"zhènzi"	"6"	""	"period of time"
"震动"	"震動"	"zhèndòng"	"6"	""	"to shake"
"争论"	"爭論"	"zhēnglùn"	"6"	""	"to argue"
"争取"	"爭取"	"zhēngqŭ"	"6"	""	"to fight for"
"睁"	"睜"	"zhēng"	"6"	""	"to open (one's eyes)"
"征求"	"徵求"	"zhēngqiú"	"6"	""	"to solicit"
"洁"	"潔"	"jié"	"6"	"整潔"	"clean"
"整洁"	"整潔"	"zhěngjié"	"6"	""	"neatly"
"整数"	"整數"	"zhěngshù"	"6"	""	"whole number"
"正规"	"正規"	"zhèngguī"	"6"	""	"regular"
"正经"	"正經"	"zhèngjing"	"6"	""	"decent"
"党"	"黨"	"dǎng"	"6"	"政黨"	"party"
"政党"	"政黨"	"zhèngdăng"	"6"	""	"political party"
"证件"	"證件"	"zhèngjiàn"	"6"	""	"certificate"
"证据"	"證據"	"zhèngjù"	"6"	""	"evidence"
"证实"	"證實"	"zhèngshí"	"6"	""	"to confirm (sth to be true)"
"症状"	"症狀"	"zhèngzhuàng"	"6"	""	"symptom (of an illness)"
"之类"	"之類"	"zhīlèi"	"6"	""	"and so on"
"直线"	"直線"	"zhíxiàn"	"6"	""	"straight line"
"掷"	"擲"	"zhí"	"6"	""	"to toss"
"职位"	"職位"	"zhíwèi"	"6"	""	"post"
"执"	"執"	"zhí"	"6"	"執行"	"to execute (a plan)"
"执行"	"執行"	"zhíxíng"	"6"	""	"to implement"
"指导"	"指導"	"zhĭdăo"	"6"	""	"to guide"
"指责"	"指責"	"zhǐzé"	"6"	""	"to criticize"
"纸张"	"紙張"	"zhĭzhāng"	"6"	""	"paper"
"志气"	"志氣"	"zhìqì"	"6"	""	"ambition"
"志愿"	"志願"	"zhìyuàn"	"6"	""	"aspiration"
"制造"	"製造"	"zhìzào"	"6"	""	"to manufacture"
"制作"	"製作"	"zhìzuò"	"6"	""	"to make"
"中级"	"中級"	"zhōngjí"	"6"	""	"middle level (in a hierarchy)"
"中药"	"中藥"	"zhōngyào"	"6"	""	"(traditional) Chinese medicine"
"肿"	"腫"	"zhŏng"	"6"	""	"to swell"
"种类"	"種類"	"zhŏnglèi"	"6"	""	"kind"
"种子"	"種子"	"zhŏngzĭ"	"6"	""	"seed"
"种族"	"種族"	"zhŏngzú"	"6"	""	"race"
"重伤"	"重傷"	"zhòngshāng"	"6"	""	"seriously hurt"
"逐渐"	"逐漸"	"zhújiàn"	"6"	""	"gradually"
"主办"	"主辦"	"zhŭbàn"	"6"	""	"to organize"
"主观"	"主觀"	"zhŭguān"	"6"	""	"subjective"
"主张"	"主張"	"zhŭzhāng"	"6"	""	"to advocate"
"贺"	"賀"	"hè"	"6"	"祝賀"	"to congratulate"
"祝贺"	"祝賀"	"zhùhè"	"6"	""	"to congratulate"
"注"	"註"	"zhù"	"6"	"註冊"	"to register"
"注册"	"註冊"	"zhùcè"	"6"	""	"to register"
"专家"	"專家"	"zhuānjiā"	"6"	""	"expert"
"专利"	"專利"	"zhuānlì"	"6"	""	"patent"
"专门"	"專門"	"zhuānmén"	"6"	""	"specialist"
"专人"	"專人"	"zhuānrén"	"6"	""	"specialist"
