"Pinyin","AllWords","Definitions"
"guǎngdà","廣大","廣大 (of an area) vast or extensive, large-scale, widespread, (of people) numerous"
"guǎngfàn","廣泛","廣泛 extensive, wide range"
"guǎngkuò","廣闊","廣闊 wide, vast"
"guīdìng","規定","規定 provision, to fix, to set, to formulate, to stipulate, to provide, regulation, rule, CL:個|个[ge4]"
"guīhuà","規畫","規畫 "
"guīlǜ","規律","規律 rule (e.g. of science), law of behavior, regular pattern, rhythm, discipline"
"guīzé","規則","規則 rule, regulation, rules and regulations"
"guìtái","櫃臺","櫃臺 variant of 櫃檯|柜台[gui4 tai2]"
"guìzú","貴族","貴族 lord, nobility, nobleman, noblewoman, aristocrat, aristocracy"
"gǔn","滾","滾 to boil, to roll, to take a hike, Get lost!"
"guō","鍋","鍋 pot, pan, boiler, CL:口[kou3],隻|只[zhi1]"
"guóhuì","國會","國會 parliament, Congress, diet"
"guójí","國籍","國籍 nationality"
"guójì","國際","國際 international"
"guólì","國立","國立 national, state-run, public"
"guóqí","國旗","國旗 flag (of a country), CL:面[mian4]"
"guóxiǎo","國小","國小 elementary school (Taiwan), abbr. for 國民小學|国民小学[guo2 min2 xiao3 xue2]"
"guózhōng","國中","國中 junior high school (Taiwan), abbr. for 國民中學|国民中学[guo2 min2 zhong1 xue2]"
"guǒrán","果然","果然 really, sure enough, as expected, if indeed"
"guòchéng","過程","過程 course of events, process, CL:個|个[ge4]"
"guòdù","過度, 過渡","過度 excessive, over-, excess, going too far, extravagant, intemperate, overdue
過渡 to cross over (by ferry), transition, interim, caretaker (administration)"
"guòjié","過節","過節 to celebrate a festival, after the celebrations (i.e. once the festival is over)"
"guòlǜ","過濾","過濾 to filter, filter"
"guòqí","過期","過期 to be overdue, to exceed the time limit, to expire (as in expiration date)"
"guòshì","過世","過世 to die, to pass away"
"háibùrú","還不如","還不如 to be better off ..., might as well ..."
"háiyǒu","還有","還有 furthermore, in addition, still, also"
"hǎiguān","海關","海關 customs (i.e. border crossing inspection), CL:個|个[ge4]"
"hǎijūn","海軍","海軍 navy"
"hǎiwài","海外","海外 overseas, abroad"
"hǎixiá","海峽","海峽 channel, strait"
"hǎixiān","海鮮","海鮮 seafood"
"hàichù","害處","害處 damage, harm, CL:個|个[ge4]"
"hánliàng","含量","含量 content, quantity contained"
"hánlěng","寒冷","寒冷 cold (climate), frigid, very cold"
"hǎn","喊","喊 to yell, to shout, to call out for (a person)"
"hángyè","行業","行業 industry, business"
"háowú","毫無","毫無 not in the least, to completely lack"
"hǎozài","好在","好在 luckily, fortunately"
"hào","耗","耗 to waste, to spend, to consume, to squander, news, (coll.) to delay, to dilly-dally"
"hàokè","好客","好客 hospitality, to treat guests well, to enjoy having guests, hospitable, friendly"
"hàoqí","好奇","好奇 inquisitive, curious, inquisitiveness, curiosity"
"hàozhào","號召","號召 to call, to appeal"
"hébulái","合不來","合不來 unable to get along together, incompatible"
"héchéng","合成","合成 to compose, to constitute, compound, synthesis, mixture, synthetic"
"hédelái","合得來","合得來 to get along well, compatible, also written 和得來|和得来[he2 de5 lai2]"
"héfǎ","合法","合法 lawful, legitimate, legal"
"hégé","合格","合格 to meet the standard required, qualified, eligible (voter etc)"
"héhū","合乎","合乎 to accord with, conforming to"
"hélǐ","合理","合理 rational, reasonable, fair"
"héshì","合適","合適 suitable, fitting, appropriate"
"hésuàn","合算, 核算","合算 worthwhile, to be a good deal, to be a bargain, to reckon up, to calculate
核算 to calculate, accounting"
"héhǎo","和好","和好 to become reconciled, on good terms with each other"
"hépíng","和平","和平 peace, peaceful, Heping district of Shenyang city 沈陽市|沈阳市, Liaoning, Hoping township in Taichung county 臺中縣|台中县[Tai2 zhong1 xian4], Taiwan"
"héqì","和氣","和氣 friendly, polite, amiable"
"hébì","何必","何必 there is no need, why should"
"hékuàng","何況","何況 let alone, to say nothing of, besides, what's more"
"héliú","河流","河流 river, CL:條|条[tiao2]"
"hēi","嘿","嘿 hey"
"hēiàn","黑暗","黑暗 dark, darkly, darkness"
"hēiyè","黑夜","黑夜 night"
"hénjī","痕跡","痕跡 vestige, mark, trace"
"héng","橫","橫 horizontal, across, (horizontal character stroke), harsh and unreasonable, unexpected"
"hóulong","喉嚨","喉嚨 throat, larynx"
"hóuzi","猴子","猴子 monkey, CL:隻|只[zhi1]"
"hòudài","後代","後代 descendant, progeny, posterity, later ages, later generations"
"hòufāng","後方","後方 the rear, far behind the front line"
"hòuguǒ","後果","後果 consequences, aftermath"
"hòuhuǐ","後悔","後悔 to regret, to repent"
"hòunián","後年","後年 the year after next"
"hòutou","後頭","後頭 behind, the back, the rear, later, afterwards, (in) the future"
"hòutuì","後退","後退 to recoil, to draw back, to fall back, to retreat"
"hòuyuàn","後院","後院 rear court, back garden, backyard (also fig.)"
"hūxī","呼吸","呼吸 to breathe"
"hūlüè","忽略","忽略 to neglect, to overlook, to ignore"
"hūshì","忽視","忽視 to neglect, to ignore"
"húdié","蝴蝶","蝴蝶 butterfly, CL:隻|只[zhi1]"
"húzi","鬍子","鬍子 beard, mustache or whiskers, facial hair, (coll.) bandit, CL:撮[zuo3],根[gen1]"
"hù","戶","戶 a household, door, family"
"hùwài","戶外","戶外 outdoor"
"hùzhù","互助","互助 to help each other, Huzhu Tuzu autonomous county in Haidong prefecture 海東地區|海东地区[Hai3 dong1 di4 qu1], Qinghai"
"huācǎo","花草","花草 flowers and plants"
"huāfèi","花費","花費 expense, cost, to spend (time or money), expenditure"
"huāpén","花盆","花盆 flower pot"
"huāpíng","花瓶","花瓶 flower vase, fig. just a pretty face, CL:對|对[dui4]"
"huāsè","花色","花色 variety, design and color, suit (cards)"
"huāshēng","花生","花生 peanut, groundnut, CL:粒[li4]"
"huá","划","划 to row, to paddle, profitable, worth (the effort), it pays (to do sth), to cut, to slash, to scratch (cut into the surface of sth), to strike (a match), to delimit, to transfer, to assign, to plan, to draw (a line), stroke of a Chinese character"
"huáqiáo","華僑","華僑 overseas Chinese, (in a restricted sense) Chinese emigrant who still retains Chinese nationality, CL:個|个[ge4],位[wei4],名[ming2]"
"huárén","華人","華人 ethnic Chinese person or people"
"huàxué","化學","化學 chemistry, chemical"
"huàzhuāng","化妝, 化裝","化妝 to put on makeup
化裝 (of actors) to make up, to disguise oneself"
"huáiniàn","懷念","懷念 to cherish the memory of, to think of, reminisce"
"huáiyùn","懷孕","懷孕 pregnant, to have conceived, gestation, pregnancy"
"huàidàn","壞蛋","壞蛋 bad egg, scoundrel, bastard"
"huānhū","歡呼","歡呼 to cheer for, to acclaim"
"huānlè","歡樂","歡樂 gaiety, gladness, glee, merriment, pleasure, happy, joyous, gay"
"huānxǐ","歡喜","歡喜 happy, joyous, delighted, to like, to be fond of"
"huǎnhé","緩和","緩和 to ease (tension), to alleviate, to moderate, to allay, to make more mild"
"huǎnmàn","緩慢","緩慢 slow, slow-moving"
"huànxiǎng","幻想","幻想 delusion, fantasy"
"huāng","慌","慌 to get panicky, to lose one's head, (coll.) (after 得) unbearably, terribly"
"huángdì","皇帝","皇帝 emperor, CL:個|个[ge4]"
"huángdòu","黃豆","黃豆 soybean"
"huánghūn","黃昏","黃昏 dusk, evening, nightfall"
"huī","灰","灰 ash, dust, lime, gray, discouraged, dejected"
"huīsè","灰色","灰色 gray, ash gray, grizzly, pessimistic, gloomy, dispirited, ambiguous"
"huīxīn","灰心","灰心 to lose heart, to be discouraged"
"huídiàn","回電","回電 to reply to a telegram, to wire back"
"huíjiào","回教","回教 Islam"
"huíshōu","回收","回收 to recycle, to reclaim, to retrieve, to recover, to recall (a defective product)"
"huítóu","回頭","回頭 to turn round, to turn one's head, later, by and by"
"huíxìn","回信","回信 to reply, to write back, letter written in reply, CL:封[feng1]"
"huíyì","回憶","回憶 to recall, memories, CL:個|个[ge4]"
"huìkuǎn","匯款","匯款 to remit money, remittance"
"huìyuán","會員","會員 member"
"hūndǎo","昏倒","昏倒 to faint"
"hūnmí","昏迷","昏迷 to lose consciousness, to be in a coma, stupor, coma, stunned, disoriented"
"hùnhé","混合","混合 to mix, to blend, hybrid, composite"
"huógāi","活該","活該 (coll.) serve sb right, deservedly, ought, should"
"huólì","活力","活力 energy, vitality, vigor, vital force"
"huópō","活潑","活潑 lively, vivacious, brisk, active, (chemistry) reactive"
"huóyuè","活躍","活躍 active, lively, excited, to enliven, to brighten up"
"huǒchái","火柴","火柴 match (for lighting fire), CL:根[gen1],盒[he2]"
"huǒtuǐ","火腿","火腿 ham, CL:個|个[ge4]"
"huǒzāi","火災","火災 fire (that burns buildings etc)"
"huòduōhuòshǎo","或多或少","或多或少 more or less"
"huòzhě","或者","或者 or, possibly, maybe, perhaps"
"huòwù","貨物","貨物 goods, commodity, merchandise, CL:宗[zong1]"
"huòdé","獲得","獲得 to obtain, to receive, to get"
"jīròu","肌肉","肌肉 muscle, flesh"
"jīběnshàng","基本上","基本上 basically, on the whole"
"jījīn","基金","基金 fund"
"jīhū","幾乎","幾乎 almost, nearly, practically"
"jīgòu","機構","機構 mechanism, structure, organization, agency, institution, CL:所[suo3]"
"jīguān","機關","機關 mechanism, gear, machine-operated, office, agency, organ, organization, establishment, institution, body, stratagem, scheme, intrigue, plot, trick, CL:個|个[ge4]"
"jīpiào","機票","機票 air ticket, passenger ticket, CL:張|张[zhang1]"
"jīxiè","機械","機械 machine, machinery, mechanical, (old) cunning, scheming"
"jígé","及格","及格 to pass an exam or a test, to meet a minimum standard"
"jíshí","及時, 即時","及時 in time, promptly, without delay, timely
即時 immediate"
"jíjiāng","即將","即將 on the eve of, to be about to, to be on the verge of"
"jíshǐ","即使","即使 even if, even though"
"jíqí","極其","極其 extremely"
"jíhé","集合","集合 to gather, to assemble, set (mathematics)"
"jíyóu","集郵","集郵 stamp collecting, philately"
"jízhōng","集中","集中 to concentrate, to centralize, to focus, centralized, concentrated, to put together"
"jíbìng","疾病","疾病 disease, sickness, ailment"
"jímáng","急忙","急忙 hastily"
"jímò","寂寞","寂寞 lonely, lonesome, (of a place) quiet, silent"
"jìrán","既然","既然 since, as, this being the case"
"jìshù","技術","技術 technology, technique, skill, CL:門|门[men2],種|种[zhong3],項|项[xiang4]"
"jìsuàn","計算","計算 to count, to calculate, to compute, CL:個|个[ge4]"
"jìjiào","計較","計較 to bother about, to haggle, to bicker, to argue, plan, stratagem"
"jìxìng","記性","記性 memory (ability to retain information)"
"jìzài","記載","記載 to write down, to record, written account"
"jìzhù","記住","記住 to remember, to bear in mind, to learn by heart"
"jiābān","加班","加班 to work overtime"
"jiāgōng","加工","加工 to process, processing, working (of machinery)"
"jiāsù","加速","加速 to speed up, to expedite"
"jiāyǐ","加以","加以 in addition, moreover, (used before a disyllabic verb to indicate that the action of the verb is applied to sth or sb previously mentioned), to apply (restrictions etc) to (sb), to give (support, consideration etc) to (sth)"
"jiāshì","家事","家事 family matters, domestic affairs, housework"
"jiá","夾","夾 to press from either side, to place in between, to sandwich, to carry sth under armpit, wedged between, between, to intersperse, to mix, to mingle, clip, folder, Taiwan pr. [jia2], double-layered, lined (garment), Taiwan pr. used in 夾生|夹生[jia1 sheng1] and 夾竹桃|夹竹桃[jia1 zhu2 tao2]"
"jiǎ","甲","甲 first of the ten Heavenly Stems 十天干[shi2 tian1 gan1], (used for an unspecified person or thing), first (in a list, as a party to a contract etc), letter ""A"" or Roman ""I"" in list ""A, B, C"", or ""I, II, III"" etc, armor plating, shell or carapace, (of the fingers or toes) nail, bladed leather or metal armor (old), ranking system used in the Imperial examinations (old), civil administration unit (old), ancient Chinese compass point: 75°"
"jià","嫁","嫁 (of a woman) to marry, to marry off a daughter, to shift (blame etc)"
"jiàshǐ","駕駛","駕駛 to pilot (ship, airplane etc), to drive"
"jiān","尖, 兼, 煎","尖 point (of needle), sharp, shrewd, pointed
兼 double, twice, simultaneous, holding two or more (official) posts at the same time
煎 to pan fry, to sauté"
"jiānruì","尖銳","尖銳 sharp, intense, penetrating, pointed, acute (illness)"
"jiāndìng","堅定","堅定 firm, steady, staunch, resolute"
"jiānjué","堅決","堅決 firm, resolute, determined"
"jiānshì","監視","監視 to monitor, to keep a close watch over, surveillance"
"jiānyù","監獄","監獄 prison"
"jiǎndāo","剪刀","剪刀 scissors, CL:把[ba3]"
"jiǎnyàn","檢驗","檢驗 to inspect, to examine, to test"
"jiànguó","建國","建國 to found a country, nation-building, the foundation of PRC by Mao Zedong in 1949"
"jiànzhú","建築","建築 to construct, building, CL:個|个[ge4]"
"jiànjiàn","漸漸","漸漸 gradually"
"jiànjiē","間接","間接 indirect"
"jiànpán","鍵盤","鍵盤 keyboard"
"jiànquán","健全","健全 robust, sound"
"jiāng","江","江 river, surname Jiang, CL:條|条[tiao2],道[dao4]"
"jiāngyào","將要","將要 will, shall, to be going to"
"jiǎngjīn","獎金","獎金 premium, award money, bonus"
"jiǎngpǐn","獎品","獎品 award, prize"
"jiàngjià","降價","降價 to cut the price, to drive down the price, to get cheaper"
"jiāodai","交代","交代 to hand over, to explain, to make clear, to brief (sb), to account for, to justify oneself, to confess, (coll.) to finish"
"jiāohuàn","交換","交換 to exchange, to swap, to switch (telecom), commutative (math), to commute"
"jiāojì","交際","交際 communication, social intercourse"
"jiāowǎng","交往","交往 to associate (with), to have contact (with), to hang out (with), to date, (interpersonal) relationship, association, contact"
"jiāoyì","交易","交易 (business) transaction, business deal, CL:筆|笔[bi3]"
"jiāowài","郊外","郊外 outskirts"
"jiǎoluò","角落","角落 nook, corner"
"jiǎobù","腳步","腳步 footstep, step"
"jiàohǎn","叫喊","叫喊 exclamation, outcry, shout, yell"
"jiàohuì","教會","教會 to show, to teach, Christian church"
"jiàoxué","教學","教學 to teach, teaching and learning, education, CL:門|门[men2],個|个[ge4]"
"jiēdài","接待","接待 to receive (a visitor), to admit (allow sb to enter)"
"jiēdào","接到, 街道","接到 to receive (letter etc)
街道 street, subdistrict, residential district, CL:條|条[tiao2]"
"jiējiàn","接見","接見 to receive sb, to grant an interview"
"jiējìn","接近","接近 to approach, to get close to"
"jiētóu","街頭","街頭 street"
"jiēduàn","階段","階段 stage, section, phase, period, CL:個|个[ge4]"
"jiéshěng","節省","節省 saving, to save, to use sparingly, to cut down on"
"jiéyuē","節約","節約 to economize, to conserve (resources), economy, frugal"
"jiégòu","結構","結構 structure, composition, makeup, architecture, CL:座[zuo4],個|个[ge4]"
"jiéhé","結合","結合 to combine, to link, to integrate, binding, CL:次[ci4]"
"jiélùn","結論","結論 conclusion, verdict, to conclude, to reach a verdict, CL:個|个[ge4]"
"jiésuàn","結算","結算 to settle a bill, to close an account"
"jiézhàng","結帳","結帳 to pay the bill, to settle accounts, also written 結賬|结账"
"jiézhǐ","截止","截止 to close, to stop, to put a stop to sth, cut-off point, stopping point, deadline"
"jiěchú","解除","解除 to remove, to sack, to get rid of, to relieve (sb of their duties), to free, to lift (an embargo), to rescind (an agreement)"
"jiědá","解答","解答 answer, explanation, solution (to a math equation)"
"jièxiàn","界線","界線 limits, bounds, dividing line"
"jièzhǐ","戒指","戒指 (finger) ring"
"jīnhòu","今後","今後 hereafter, henceforth, in the future, from now on"
"jīné","金額","金額 sum of money, monetary value"
"jīnróng","金融","金融 banking, finance, financial"
"jīnshǔ","金屬","金屬 metal, CL:種|种[zhong3]"
"jǐnliàng","儘量","儘量 as much as possible, to the greatest extent"
"jǐnjí","緊急","緊急 urgent, emergency"
"jǐnjǐn","僅僅","僅僅 barely, only, merely, only (this and nothing more)"
"jìnshì","近視","近視 shortsighted, nearsighted, myopia"
"jìnlì","盡力","盡力 to strive one's hardest, to spare no effort"
"jìnrù","進入","進入 to enter, to join, to go into"
"jìnkǒu","進口","進口 to import, imported, entrance, inlet (for the intake of air, water etc)"
"jìnzhǐ","禁止","禁止 to prohibit, to forbid, to ban"
"jīngcǎi","精彩","精彩 wonderful, marvelous, brilliant"
"jīnglì","精力, 經歷","精力 energy
經歷 experience, to experience, to go through, CL:個|个[ge4],次[ci4]"
"jīngxì","精細","精細 fine, meticulous, careful"
"jīngjì","經濟","經濟 economy, economic"
"jīngyíng","經營","經營 to engage in (business etc), to run, to operate"
"jīngjù","京劇","京劇 Beijing opera, CL:場|场[chang3],出[chu1]"
"jīngrén","驚人","驚人 astonishing"
"jǐnggào","警告","警告 to warn, to admonish"
"jǐngsè","景色","景色 scenery, scene, landscape, view"
"jìngài","敬愛","敬愛 respect and love"
"jìngjiǔ","敬酒","敬酒 to toast, to propose a toast"
"jìnglǐ","敬禮","敬禮 to salute, salute"
"jìnghuà","淨化","淨化 to purify"
"jìngrán","竟然","竟然 unexpectedly, to one's surprise, in spite of everything, in that crazy way, actually, to go as far as to"
"jìngzhēng","競爭","競爭 to compete, competition"
"jiūzhèng","糾正","糾正 to correct, to make right"
"jiǔhuì","酒會","酒會 drinking party, wine reception"
"jiùshìshuō","就是說","就是說 in other words, that is"
"jiùyè","就業","就業 to get a job, employment"
"jiùhuǒ","救火","救火 to put out a fire, firefighting"
"jiùjìng","究竟","究竟 to go to the bottom of a matter, after all, when all is said and done, (in an interrogative sentence) finally, outcome, result"
"jūmín","居民","居民 resident, inhabitant"
"jūrán","居然","居然 unexpectedly, to one's surprise, go so far as to"
"júgōng","鞠躬","鞠躬 to bow, (literary) to bend down"
"jùdà","巨大","巨大 huge, immense, very large, tremendous, gigantic, enormous"
"jùbèi","具備","具備 to possess, to have, equipped with, able to fulfill (conditions or requirements)"
"jùtǐ","具體","具體 concrete, definite, specific"
"jùlèbù","俱樂部","俱樂部 club (the organisation or its premises) (loanword), CL:個|个[ge4]"
"jùjí","聚集","聚集 to assemble, to gather"
"jùchǎng","劇場","劇場 theater, CL:個|个[ge4]"
"jùliè","劇烈","劇烈 violent, acute, severe, fierce"
"jùyuàn","劇院","劇院 theater, CL:家[jia1],座[zuo4]"
"jùshuō","據說","據說 it is said that, reportedly"
"juān","捐","捐 to contribute, to donate, contribution, tax, to abandon"
"juānkuǎn","捐款","捐款 to donate money, to contribute funds, donation, contribution (of money)"
"juǎn","卷, 捲","卷 to roll up, roll, classifier for small rolled things (wad of paper money, movie reel etc), scroll, book, volume, chapter, examination paper, classifier for books, paintings: volume, scroll, to roll (up), to sweep up, to carry on, roll
捲 to roll (up), to sweep up, to carry on, roll"
"juéxīn","決心","決心 determination, resolution, determined, firm and resolute, to make up one's mind, CL:個|个[ge4]"
"juébù","絕不","絕不 in no way, not in the least, absolutely not"
"juédàbùfèn","絕大部分","絕大部分 overwhelming majority"
"juéwù","覺悟","覺悟 to come to understand, to realize, consciousness, awareness, Buddhist enlightenment (Sanskrit: cittotpāda)"
"jūnshì","軍事","軍事 military affairs, military matters, military"
"kǎtōng","卡通","卡通 cartoon (loanword)"
"kāichú","開除","開除 to expel"
"kāidāo","開刀","開刀 (of a surgeon) to perform an operation, (of a patient) to have an operation, to decapitate, to behead, to single out as a point of attack"
"kāifā","開發","開發 to exploit (a resource), to open up (for development), to develop"
"kāihù","開戶","開戶 to open an account (bank etc)"
"kāikè","開課","開課 school begins, give a course, teach a subject"
"kāimíng","開明","開明 enlightened, open-minded, enlightenment"
"kāishè","開設","開設 to offer (goods or services), to open (for business etc)"
"kāituò","開拓","開拓 to break new ground (for agriculture), to open up (a new seam), to develop (border regions), fig. to open up (new horizons)"
"kāiyǎn","開演","開演 (of a play, movie etc) to begin"
"kānjiā","看家","看家 to look after the house, (of skill, ability) special, outstanding"
"kǎn","砍","砍 to chop, to cut down, to throw sth at sb"
"kàndeqǐ","看得起","看得起 to show respect for, to think highly of"
"kànkan","看看","看看 to take a look at, to examine, to survey, (coll.) pretty soon"
"kànlái","看來","看來 apparently, it seems that"
"kànyàngzi","看樣子","看樣子 it seems, it looks as if"
"kàngyì","抗議","抗議 to protest, protest"
"kǎochá","考察","考察 to inspect, to observe and study, on-the-spot investigation"
"kǎojuàn","考卷","考卷 exam paper"
"kǎolǜ","考慮","考慮 to think over, to consider, consideration"
"kǎoqǔ","考取","考取 to pass an entrance exam, to be admitted to"
"kàojìn","靠近","靠近 near, to approach"
"kēmù","科目","科目 subject"
"kěxǐ","可喜","可喜 making one happy, gratifying, heartening"
"kěxiào","可笑","可笑 funny, ridiculous"
"kèfáng","客房","客房 guest room"
"kèguān","客觀","客觀 objective, impartial"
"kèhù","客戶","客戶 client, customer"
"kèwài","課外","課外 extracurricular"
"kōngqián","空前","空前 unprecedented"
"kōngzhōng","空中","空中 in the sky, in the air"
"kǒngbù","恐怖","恐怖 terrible, frightful, frightening, terror, terrorist"
"kòngzhì","控制","控制 control, to exercise control over, to contain"
"kǒucái","口才","口才 eloquence"
"kǒuhào","口號","口號 slogan, catchphrase, CL:個|个[ge4]"
"kǒuhóng","口紅","口紅 lipstick"
"kǒuqì","口氣","口氣 tone of voice, the way one speaks, manner of expression, tone"
"kǒushì","口試","口試 oral examination, oral test"
"kǒushuǐ","口水","口水 saliva"
"kǒuyīn","口音","口音 oral speech sounds (linguistics), voice, accent"
"kǒuyǔ","口語","口語 colloquial speech, spoken language, vernacular language, slander, gossip, CL:門|门[men2]"
"kòu","扣","扣 to fasten, to button, button, buckle, knot, to arrest, to confiscate, to deduct (money), discount, to knock, to smash, spike or dunk (a ball), to cover (with a bowl etc), fig. to tag a label on sb, button"
"kuājiǎng","誇獎","誇獎 to praise, to applaud, to compliment"
"kuà","跨","跨 to step across, to stride over, to straddle, to span"
"kuàijì","會計","會計 accountant, accountancy, accounting"
"kuāndù","寬度","寬度 width"
"lǎba","喇叭","喇叭 horn (automobile etc), loudspeaker, brass wind instrument, trumpet, suona 鎖吶|锁呐[suo3 na4]"
"làzhú","蠟燭","蠟燭 candle, CL:根[gen1],支[zhi1]"
"làjiāo","辣椒","辣椒 hot pepper, chili"
"láihuí","來回","來回 to make a round trip, return journey, back and forth, to and fro, repeatedly"
"láilín","來臨","來臨 to approach, to come closer"
"láiwǎng","來往","來往 to come and go, to have dealings with, to be in relation with"
"láixìn","來信","來信 incoming letter, send a letter here"
"láiyuán","來源","來源 source (of information etc), origin"
"láizì","來自","來自 to come from (a place), From: (in email header)"
"lánzi","籃子","籃子 basket, CL:隻|只[zhi1]"
"lǎn","懶","懶 lazy"
"lǎnde","懶得","懶得 not to feel like (doing sth), disinclined to"
"làn","爛","爛 soft, mushy, well-cooked and soft, to rot, to decompose, rotten, worn out, chaotic, messy, utterly, thoroughly, crappy, bad"
"lànyòng","濫用","濫用 to misuse, to abuse"
"láng","狼","狼 wolf, CL:匹[pi3],隻|只[zhi1],條|条[tiao2]"
"làngfèi","浪費","浪費 to waste, to squander"
"lāo","撈","撈 to fish up, to dredge up"
"láo","牢","牢 firm, sturdy, fold (for animals), sacrifice, prison"
"láosāo","牢騷","牢騷 discontent, complaint, to complain"
"láodòng","勞動","勞動 work, toil, physical labor, CL:次[ci4]"
"láogōng","勞工","勞工 labor, laborer"
"láolì","勞力","勞力 labor, able-bodied worker, laborer, work force"
"láodao","嘮叨","嘮叨 to prattle, to chatter away, to nag, garrulous, nagging"
"lǎobǎixìng","老百姓","老百姓 ordinary people, the ""person in the street"", CL:個|个[ge4]"
"lǎobǎnniáng","老闆娘","老闆娘 female proprietor, lady boss, boss's wife"
"lǎodà","老大","老大 old age, very, eldest child in a family, leader of a group, boss, captain of a boat, leader of a criminal gang"
"lǎojiā","老家","老家 native place, place of origin, home state or region"
"lǎoshíshuō","老實說","老實說 honestly speaking, to be frank, ..."
"lǎotàitai","老太太","老太太 elderly lady (respectful), esteemed mother, CL:位[wei4]"
"lèyì","樂意","樂意 to be willing to do sth, to be ready to do sth, to be happy to do sth, content, satisfied"
"lèisì","類似","類似 similar, analogous"
"lěngjìng","冷靜","冷靜 calm, cool-headed"
"lěngyǐn","冷飲","冷飲 cold drink"
"lǐyóu","理由","理由 reason, grounds, justification, CL:個|个[ge4]"
"lǐpǐn","禮品","禮品 gift, present"
"lìqi","力氣","力氣 strength, CL:把[ba3]"
"lìchǎng","立場","立場 position, standpoint, CL:個|个[ge4]"
"lìjí","立即","立即 immediately"
"lìrùn","利潤","利潤 profits"
"lìxí","利息","利息 interest (on a loan), CL:筆|笔[bi3]"
"lìwài","例外","例外 exception, to be an exception"
"lì","粒","粒 grain, granule, classifier for small round things (peas, bullets, peanuts, pills, grains etc)"
"liánhé","聯合","聯合 to combine, to join, unite, alliance"
"liánhéguó","聯合國","聯合國 United Nations"
"liánjiē","連接","連接 to link, to join, to attach, connection, a link (on web page)"
"liánmáng","連忙","連忙 promptly, at once"
"liánxù","連續","連續 continuous, in a row, serial, consecutive"
"liǎnsè","臉色","臉色 complexion, look"
"liángshí","糧食","糧食 foodstuff, cereals, CL:種|种[zhong3]"
"liàngjiě","諒解","諒解 to understand, to make allowances for, understanding"
"liè","裂","裂 to split, to crack, to break open, to rend"
"línshí","臨時","臨時 as the time draws near, at the last moment, temporary, interim, ad hoc"
"língchén","凌晨","凌晨 very early in the morning, in the wee hours"
"línghuó","靈活","靈活 flexible, nimble, agile"
"língjiàn","零件","零件 part, component"
"língshòu","零售","零售 to retail, to sell individually or in small quantities"
"língxià","零下","零下 below zero"
"lǐngdài","領帶","領帶 necktie, CL:條|条[tiao2]"
"lǐngtǔ","領土","領土 territory"
"lǐngxiān","領先","領先 to lead, to be in front"
"lǐngxiù","領袖","領袖 leader, CL:個|个[ge4],位[wei4],名[ming2]"
"lìngwài","另外","另外 additional, in addition, besides, separate, other, moreover, furthermore"
"liū","溜","溜 to slip away, to escape in stealth, to skate"
"liúdòng","流動","流動 to flow, to circulate, to go from place to place, to be mobile, (of assets) liquid"
"liúlì","流利","流利 fluent"
"liúniàn","留念","留念 to keep as a souvenir, to recall fondly"
"lǒu","摟","摟 to draw towards oneself, to gather, to gather up (one's gown, sleeves etc), to grab (money), to extort, to hug, to embrace, to hold in one's arms"
"lùdēng","路燈","路燈 street lamp, street light"
"lùxiàn","路線","路線 itinerary, route, political line (e.g. right revisionist road), CL:條|条[tiao2]"
"lùjūn","陸軍","陸軍 army, ground forces"
"lùxù","陸續","陸續 in turn, successively, one after the other, bit by bit"
"lùyòng","錄用","錄用 to hire (an employee)"
"lúnchuán","輪船","輪船 steamship, steamer, ocean liner, ship, CL:艘[sou1]"
"lúnliú","輪流","輪流 to alternate, to take turns"
"lúnzi","輪子","輪子 wheel, CL:個|个[ge4]"
"lùnwén","論文","論文 paper, treatise, thesis, to discuss a paper or thesis (old), CL:篇[pian1]"
"luòhòu","落後","落後 to fall behind, to lag (in technology etc), backward, to retrogress"
"luòshí","落實","落實 practical, workable, to implement, to carry out, to decide"
"luòwǔ","落伍","落伍 to fall behind the ranks, to be outdated"
"lǚxíngshè","旅行社","旅行社 travel agency"
"lǜdòu","綠豆","綠豆 mung bean"
"máquè","麻雀","麻雀 sparrow, (dialect) mahjong"
"mǎhu","馬虎","馬虎 careless, sloppy, negligent, skimpy"
"mái","埋","埋 to bury, to blame"
"mǎidān","買單","買單 to pay the restaurant bill"
"mǎimài","買賣","買賣 buying and selling, business, business transactions, CL:樁|桩[zhuang1],次[ci4]"
"mántou","饅頭","饅頭 steamed roll, steamed bun, steamed bread, CL:個|个[ge4]"
"mànhuà","漫畫","漫畫 caricature, cartoon, Japanese manga"
"mánglù","忙碌","忙碌 busy, bustling"
"mángmù","盲目","盲目 blind, blindly, ignorant, lacking understanding"
"máodùn","矛盾","矛盾 contradiction, conflicting views, contradictory, CL:個|个[ge4]"
"máojīn","毛巾","毛巾 towel, CL:條|条[tiao2]"
"méihuā","梅花","梅花 plum blossom, clubs ♣ (a suit in card games), wintersweet (dialect)"
"měiguān","美觀","美觀 pleasing to the eye, beautiful, artistic"
"měimiào","美妙","美妙 beautiful, wonderful, splendid"
"mèilì","魅力","魅力 charm, fascination, glamor, charisma"
"ménpiào","門票","門票 ticket (for theater, cinema etc)"
"ménzhěn","門診","門診 outpatient service"
